case,model,chi2,dof,reduced_chi2,residual_mean_sigma,residual_std_sigma,max_abs_residual_sigma
bt10_re03,no_bulge,7.2575e+05,7.2008e+05,1.0079,0.00086446,1.0039,5.4169
bt10_re03,bulge,7.1964e+05,7.2007e+05,0.9994,2.9202e-05,0.99969,4.7636
bt10_re06,no_bulge,7.201e+05,7.2008e+05,1,-0.00041576,1,4.9489
bt10_re06,bulge,7.1799e+05,7.2007e+05,0.99711,-0.00024061,0.99854,4.961
bt25_re03,no_bulge,7.3346e+05,7.2008e+05,1.0186,-0.00024371,1.0092,5.9927
bt25_re03,bulge,7.1906e+05,7.2007e+05,0.99859,-0.0013437,0.99928,4.7297
bt25_re06,no_bulge,7.2632e+05,7.2008e+05,1.0087,8.6714e-05,1.0043,5.9336
bt25_re06,bulge,7.1984e+05,7.2007e+05,0.99968,-0.00037511,0.99982,4.9974
bt50_re03,no_bulge,7.4078e+05,7.2008e+05,1.0288,0.0032694,1.0143,6.8166
bt50_re03,bulge,7.2156e+05,7.2007e+05,1.0021,-0.00065497,1.001,4.6579
bt50_re06,no_bulge,7.2725e+05,7.2008e+05,1.01,-0.00079223,1.005,5.6854
bt50_re06,bulge,7.1721e+05,7.2007e+05,0.99602,-0.0020329,0.99799,4.5914
bt00,no_bulge,7.1934e+05,7.2008e+05,0.99898,-0.0018592,0.99947,5.1503
bt00,bulge,7.1934e+05,7.2007e+05,0.99898,-0.0017694,0.99947,5.1503
