case,model,image_chi2,image_dof,image_reduced_chi2,visibility_chi2,visibility_dof,visibility_reduced_chi2,uv_sigma_scale,image_residual_mean_sigma,image_residual_std_sigma
bt10_re03,no_bulge,7.4006e+05,7.2008e+05,1.0278,4.0739e+05,4.047e+05,1.0067,0.16767,-0.035692,1.0131
bt10_re03,bulge,7.2014e+05,7.2007e+05,1.0001,4.0714e+05,4.0469e+05,1.0061,0.16767,-0.030814,0.99956
bt10_re06,no_bulge,7.4612e+05,7.2008e+05,1.0362,4.0566e+05,4.047e+05,1.0024,0.16794,-0.0091108,1.0179
bt10_re06,bulge,7.4238e+05,7.2007e+05,1.031,4.0561e+05,4.0469e+05,1.0023,0.16794,-0.0066621,1.0153
bt25_re03,no_bulge,7.2819e+05,7.2008e+05,1.0113,4.0904e+05,4.047e+05,1.0107,0.16727,-0.017745,1.0054
bt25_re03,bulge,6.8749e+05,7.2007e+05,0.95474,4.0838e+05,4.0469e+05,1.0091,0.16727,-0.011064,0.97703
bt25_re06,no_bulge,7.4727e+05,7.2008e+05,1.0378,4.0353e+05,4.047e+05,0.99711,0.16841,-0.025961,1.0184
bt25_re06,bulge,7.3311e+05,7.2007e+05,1.0181,4.033e+05,4.0469e+05,0.99656,0.16841,-0.021164,1.0088
bt50_re03,no_bulge,7.3374e+05,7.2008e+05,1.019,4.1036e+05,4.047e+05,1.014,0.16678,-0.0069044,1.0094
bt50_re03,bulge,6.7933e+05,7.2007e+05,0.94342,4.095e+05,4.0469e+05,1.0119,0.16678,-0.0070385,0.97126
bt50_re06,no_bulge,7.1852e+05,7.2008e+05,0.99784,4.0297e+05,4.047e+05,0.99574,0.16819,-0.038104,0.99818
bt50_re06,bulge,6.8677e+05,7.2007e+05,0.95376,4.0245e+05,4.0469e+05,0.99445,0.16819,-0.035642,0.97594
bt00,no_bulge,7.1108e+05,7.2008e+05,0.9875,4.0747e+05,4.047e+05,1.0068,0.16779,-0.056592,0.99211
bt00,bulge,7.1097e+05,7.2007e+05,0.98735,4.0746e+05,4.0469e+05,1.0068,0.16779,-0.056718,0.99202
