case,model,visibility_chi2,dof,reduced_chi2
bt10_re03,no_bulge,4.0741e+05,4.0469e+05,1.0067
bt10_re03,bulge,4.0719e+05,4.0469e+05,1.0062
bt10_re06,no_bulge,4.057e+05,4.0469e+05,1.0025
bt10_re06,bulge,4.0564e+05,4.0469e+05,1.0024
bt25_re03,no_bulge,4.09e+05,4.0469e+05,1.0106
bt25_re03,bulge,4.0845e+05,4.0469e+05,1.0093
bt25_re06,no_bulge,4.0351e+05,4.0469e+05,0.99708
bt25_re06,bulge,4.0333e+05,4.0469e+05,0.99662
bt50_re03,no_bulge,4.0964e+05,4.0469e+05,1.0122
bt50_re03,bulge,4.0895e+05,4.0469e+05,1.0105
bt50_re06,no_bulge,4.0294e+05,4.0469e+05,0.99566
bt50_re06,bulge,4.0254e+05,4.0469e+05,0.99469
bt00,no_bulge,4.0754e+05,4.0469e+05,1.007
bt00,bulge,4.0754e+05,4.0469e+05,1.007
